Type of Soil,Date,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,30,33,34,36,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,40,40,40,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,31,34,36,38,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,42,42,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,26,30,32,34,35,35,35,38,38,38,38,40,40,40,40,40,40,40,40,41,41,41,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,29,30,31,32,33,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37,37,37,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,37,40,43,44,44,46,46,46,46,46,46,49,49,49,49,49,50,50,50,50,50,50,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,33,35,37,40,41,43,43,43,43,44,44,46,46,46,46,46,46,47,47,47,47,47,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,20,21,23,26,27,30,30,30,30,33,33,33,33,33,35,35,35,35,35,35,35,35,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,20,23,25,28,28,28,29,30,30,32,32,34,34,34,34,34,36,36,36,36,36,37,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,28,33,36,38,38,39,40,40,40,41,41,41,41,41,41,41,41,41,42,42,42,42,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,29,33,35,38,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,24,26,29,33,34,34,35,35,35,35,35,35,36,36,36,36,36,40,40,40,40,40,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,20,23,25,28,28,29,30,30,30,31,31,31,31,31,31,31,31,31,33,33,33,33,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,22,24,26,28,29,29,30,33,33,33,33,33,33,35,35,35,35,35,35,35,36,36,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,25,27,30,33,34,34,36,36,36,36,38,38,38,38,38,38,40,40,40,40,40,40,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,40,43,44,46,48,49,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,52,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,39,43,45,46,49,49,50,51,51,51,53,53,53,53,53,53,53,53,53,53,53,53,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,30,33,35,36,37,38,38,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,28,30,33,35,36,37,39,39,39,40,40,40,40,40,40,40,40,41,41,41,41,41,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,21,22,23,25,26,26,28,30,30,30,30,31,31,31,31,31,31,33,33,33,33,33,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,28,29,30,31,33,33,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,24,26,27,30,30,33,33,34,34,34,34,34,34,35,35,35,35,35,37,37,37,37,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,27,29,30,31,31,31,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,35,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,32,33,33,35,35,37,38,38,38,38,39,39,39,39,39,40,40,40,40,40,40,40,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,37,38,39,40,40,42,42,42,42,42,42,43,43,43,43,43,43,45,45,45,45,45,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,40,43,44,46,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,52,52,52,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,40,44,46,48,50,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,28,30,33,35,35,35,36,38,38,38,38,38,38,40,40,40,40,40,40,41,41,41,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,25,27,29,31,31,31,33,34,34,34,34,34,34,35,35,35,35,36,36,36,36,36,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,18,21,23,25,26,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,32,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,25,26,28,30,31,31,31,33,33,33,33,33,33,35,35,35,35,35,35,36,36,36,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,25,27,29,31,31,51,53,53,53,53,53,55,55,55,55,55,55,56,56,56,56,56,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,14,17,18,21,23,23,25,25,25,25,25,25,27,27,27,27,27,30,30,30,30,30,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,30,32,33,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37,37,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,39,41,43,44,48,48,49,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,43,44,45,48,50,50,50,50,50,50,50,50,51,51,51,51,51,51,52,52,52,52,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,37,38,39,40,42,43,43,43,43,43,43,44,44,44,44,44,45,45,45,45,45,45,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,34,34,36,39,39,40,41,42,42,42,42,43,43,43,43,43,45,45,45,45,45,45,,,,,,,
Loam Soil,,0,0,0,0,0,0,0,0,0,0,29,31,34,36,38,38,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,,,,,,,
