Seed no.,Date,Type of Soil,Sunlight,Frequency of water,Nitrogren,Phosphorus,Potassium,Height (mm),Number of leaves
Seed 1,25-Mar,Loam Soil,1.75,1,2.3,1.5,3.1,30,2
Seed 2,25-Mar,Loam Soil,1.75,1,1.8,2,2.7,31,4
Seed 3,25-Mar,Loam Soil,1.75,1,2.7,1.2,2.8,26,2
Seed 4,25-Mar,Loam Soil,1.75,1,1.9,1.6,3.4,29,2
Seed 5,25-Mar,Loam Soil,1.75,1,2.1,1.4,2.9,37,3
Seed 6,25-Mar,Loam Soil,1.75,1,2.5,1.9,3.2,33,2
Seed 7,25-Mar,Loam Soil,1.75,1,1.7,1.8,2.5,20,2
Seed 8,25-Mar,Loam Soil,1.75,1,2.2,1.3,3,20,2
Seed 9,25-Mar,Loam Soil,1.75,1,1.5,2.2,2.3,28,2
Seed 10,25-Mar,Loam Soil,1.75,1,2,1.7,3.3,29,2
Seed 11,25-Mar,Loam Soil,1.75,1,1.6,1.9,2.6,24,2
Seed 12,25-Mar,Loam Soil,1.75,1,2.4,1.1,2.4,20,2
Seed 13,25-Mar,Loam Soil,1.75,1,2.6,1.6,3.1,22,2
Seed 14,25-Mar,Loam Soil,1.75,1,1.4,1.5,2.7,25,2
Seed 15,25-Mar,Loam Soil,1.75,1,2.8,2.1,2.6,40,3
Seed 16,25-Mar,Loam Soil,1.75,1,2.2,2.3,2.5,39,2
Seed 17,25-Mar,Loam Soil,1.75,1,1.7,2,2.9,30,3
Seed 18,25-Mar,Loam Soil,1.75,1,2,2.2,3.2,28,2
Seed 19,25-Mar,Loam Soil,1.75,1,1.5,1.2,3.4,21,2
Seed 20,25-Mar,Loam Soil,1.75,1,2.4,1.8,2.7,28,2
Seed 21,25-Mar,Loam Soil,1.75,1,2.3,2,3.1,24,2
Seed 22,25-Mar,Loam Soil,1.75,1,2.7,1.1,2.8,27,4
Seed 23,25-Mar,Loam Soil,1.75,1,1.9,1.4,3.3,32,2
Seed 24,25-Mar,Loam Soil,1.75,1,2.1,1.6,3,37,2
Seed 25,25-Mar,Loam Soil,1.75,1,2.5,2.2,2.3,40,2
Seed 26,25-Mar,Loam Soil,1.75,1,1.7,1.5,2.5,40,2
Seed 27,25-Mar,Loam Soil,1.75,1,2.2,1.3,2.6,28,2
Seed 28,25-Mar,Loam Soil,1.75,1,1.5,1.9,3.2,25,2
Seed 29,25-Mar,Loam Soil,1.75,1,2,1.7,2.4,18,2
Seed 30,25-Mar,Loam Soil,1.75,1,1.6,2.3,2.7,25,2
Seed 31,25-Mar,Loam Soil,1.75,1,2.4,2,2.9,25,2
Seed 32,25-Mar,Loam Soil,1.75,1,1.4,2.1,2.8,0,0
Seed 33,25-Mar,Loam Soil,1.75,1,2.8,1.2,3.1,14,2
Seed 34,25-Mar,Loam Soil,1.75,1,1.3,2.2,3.4,30,2
Seed 35,25-Mar,Loam Soil,1.75,1,2.6,1.6,2.5,39,2
Seed 36,25-Mar,Loam Soil,1.75,1,2,1.7,3.3,43,2
Seed 37,25-Mar,Loam Soil,1.75,1,1.6,1.9,2.6,37,2
Seed 38,25-Mar,Loam Soil,1.75,1,2.4,1.1,2.4,34,2
Seed 39,25-Mar,Loam Soil,1.75,1,2.6,1.6,3.1,29,2
Seed 40,25-Mar,Loam Soil,1.75,1,1.4,1.5,2.7,27,2
Seed 41,25-Mar,Loam Soil,1.75,1,2.8,2.1,2.6,31,2
Seed 42,25-Mar,Loam Soil,1.75,1,2.2,2.3,2.5,28,2
Seed 43,25-Mar,Loam Soil,1.75,1,1.7,2,2.9,26,2
Seed 44,25-Mar,Loam Soil,1.75,1,2,2.2,3.2,26,2
Seed 45,25-Mar,Loam Soil,1.75,1,1.5,1.2,3.4,34,2
Seed 46,25-Mar,Loam Soil,1.75,1,2.4,1.8,2.7,44,2
Seed 47,25-Mar,Loam Soil,1.75,1,2.3,2,3.1,39,2
Seed 48,25-Mar,Loam Soil,1.75,1,2.7,1.1,2.8,23,2
Seed 49,25-Mar,Loam Soil,1.75,1,1.9,1.4,3.3,24,2
Seed 50,25-Mar,Loam Soil,1.75,1,2.1,1.6,3,28,2
Seed 51,25-Mar,Loam Soil,1.75,1,2.5,2.2,2.3,33,2
Seed 52,25-Mar,Loam Soil,1.75,1,1.7,1.5,2.5,31,3
Seed 53,25-Mar,Loam Soil,1.75,1,2.2,1.3,2.6,33,2
Seed 54,25-Mar,Loam Soil,1.75,1,1.5,1.9,3.2,28,4
Seed 55,25-Mar,Loam Soil,1.75,1,2,1.7,2.4,48,2
Seed 56,25-Mar,Loam Soil,1.75,1,1.6,2.3,2.7,43,2
Seed 57,25-Mar,Loam Soil,1.75,1,2.4,2,2.9,28,2
Seed 58,25-Mar,Loam Soil,1.75,1,1.4,2.1,2.8,25,2
Seed 59,25-Mar,Loam Soil,1.75,1,2.8,1.2,3.1,25,2
Seed 60,25-Mar,Loam Soil,1.75,1,1.3,2.2,3.4,30,2
Seed 61,25-Mar,Loam Soil,1.75,1,2.6,1.6,2.5,34,2
Seed 62,25-Mar,Loam Soil,1.75,1,1.8,1.4,3,20,2
Seed 63,25-Mar,Loam Soil,1.75,1,2.3,1.9,2.7,26,2
Seed 64,25-Mar,Loam Soil,1.75,1,2.5,2.1,2.8,25,2
Seed 65,25-Mar,Loam Soil,1.75,1,1.7,1.5,3.1,47,3
Seed 66,25-Mar,Organic Soil,2,1,1.9,2,3.3,0,0
Seed 67,25-Mar,Organic Soil,2,1,1.9,1.7,2.4,0,0
Seed 68,25-Mar,Organic Soil,2,1,2.6,2.3,2.8,0,0
Seed 69,25-Mar,Organic Soil,2,1,1.5,1.2,3.3,0,0
Seed 70,25-Mar,Organic Soil,2,1,2,1.6,2.5,0,0
Seed 71,25-Mar,Organic Soil,2,1,1.8,2.2,2.9,0,0
Seed 72,25-Mar,Organic Soil,2,1,2.5,1.5,3.1,0,0
Seed 73,25-Mar,Organic Soil,2,1,1.7,2.1,2.6,0,0
Seed 74,25-Mar,Organic Soil,2,1,2.4,1.3,2.7,0,0
Seed 75,25-Mar,Organic Soil,2,1,1.6,1.9,3.2,0,0
Seed 76,25-Mar,Organic Soil,2,1,2.1,1.4,2.3,0,0
Seed 77,25-Mar,Organic Soil,2,1,2.3,1.8,3,0,0
Seed 78,25-Mar,Organic Soil,2,1,1.4,2,3.4,0,0
Seed 79,25-Mar,Organic Soil,2,1,2.7,1.6,2.9,0,0
Seed 80,25-Mar,Organic Soil,2,1,1.9,1.5,2.8,0,0
Seed 81,25-Mar,Organic Soil,2,1,2.2,1.2,3.1,0,0
Seed 82,25-Mar,Organic Soil,2,1,1.5,1.7,2.5,0,0
Seed 83,25-Mar,Organic Soil,2,1,2,2.3,2.4,0,0
Seed 84,25-Mar,Organic Soil,2,1,1.8,1.4,3.3,0,0
Seed 85,25-Mar,Organic Soil,2,1,2.4,2.2,3.1,0,0
Seed 86,25-Mar,Organic Soil,2,1,2.1,1.6,2.7,0,0
Seed 87,25-Mar,Organic Soil,2,1,2.6,1.3,2.6,0,0
Seed 88,25-Mar,Organic Soil,2,1,1.7,2,2.3,0,0
Seed 89,25-Mar,Organic Soil,2,1,2.3,1.9,3,0,0
Seed 90,25-Mar,Organic Soil,2,1,1.6,1.5,2.9,0,0
Seed 91,25-Mar,Organic Soil,2,1,2.5,1.8,3.4,0,0
